n	municipio	COREDE	area_ex	irriga	financ_veg	financ_pec	assist_veg	assis_pec	est_colheita	est_trator	est_adubo	colheita	trator	estab_rebanho	gado	pea	pop	valor_veg	receita_veg	valor_bov	ideese
1	agua_santa	nordeste	0.002927277115	0.005691056911	0.008497761565	0.01026304442	0.00649688586	0.004670726672	0.01079211346	0.00916993027	0.006656003937	0.009222239991	0.009396275249	0.004868537939	0.001871490432	0.006506888454	0.00226440945	0.005889212443	0.004924592046	0.008230421788	1.409505824
2	ajuricaba	noroeste_colonial	0.003454595936	0.009620596206	0.01616647322	0.01034928849	0.009401178505	0.004748142031	0.01909373919	0.01277581431	0.009128937008	0.01620555467	0.01320823721	0.007314343728	0.002854599235	0.008195361492	0.004337809094	0.007964722722	0.006699880795	0.01123719704	1.207168007
3	alegrete	fronteira_oeste	0.08978589421	0.04756097561	0.009409716465	0.0503665373	0.006832642235	0.05824215524	0.0210307852	0.02462030757	0.01692913386	0.02590756437	0.03271816801	0.02903817534	0.1208666363	0.03052154646	0.04598561059	0.03652733199	0.03991076384	0.07789708595	0.9915348371
4	alpestre	medio_alto_uruguai	0.002820139322	0.00325203252	0.0145498259	0.009659335921	0.0178118757	0.008489884393	0.002698028364	0.009360970484	0.01612942913	0.002132309825	0.005781241209	0.01549394894	0.005315619631	0.01267829427	0.004382024327	0.003409645046	0.002839807073	0.004302054001	0.9244856372
5	alto_alegre	alto_da_serra_do_botucarai	0.001148024492	0.0006775067751	0.007875974134	0.004139715395	0.005019557809	0.002348265896	0.005949498443	0.004608845162	0.00437992126	0.004904312597	0.00406515501	0.003011109957	0.000810629898	0.003199988203	0.001062934194	0.001971457576	0.001612885097	0.002254399115	1.2931209
6	ametista_do_sul	medio_alto_uruguai	0.0007830863863	0.00243902439	0.002735864699	0.003363518758	0.007336276798	0.00487716763	0.0002075406434	0.001313401471	0.006077755906	0.0001599232368	0.0009143082203	0.006829797298	0.001031310685	0.006340990448	0.004466328037	0.0007450002996	0.0005217272633	0.0009243218323	1.035371884
7	augusto_pestana	noroeste_colonial	0.003565679652	0.007588075881	0.01256010612	0.01862871928	0.009888025249	0.008464079273	0.02013144241	0.01502053682	0.01110974409	0.01737832507	0.01485399201	0.009483265843	0.004784560644	0.009658950566	0.004180402866	0.006853405732	0.004669525384	0.01357347506	1.34260101
8	barracao	nordeste	0.005133167732	0.000406504065	0.01231139115	0.01009055627	0.01024056944	0.009599504542	0.006018678658	0.007904288853	0.009731791339	0.005277466816	0.005964102853	0.009529413122	0.004978416036	0.008600889951	0.003227122449	0.005379823285	0.00551181179	0.003924728725	0.8786538312
9	barra_do_quarai	fronteira_oeste	0.01138147726	0.008536585366	0.001658099818	0.00120741699	0.001124783857	0.002038604459	0.003113109651	0.002077562327	0.001058070866	0.005330774562	0.004557474821	0.001407492011	0.01133750161	0.002846072457	0.002489612368	0.009485782769	0.00008850335255	0.005211592142	0.5755657315
10	barros_cassal	alto_da_serra_do_botucarai	0.004955003323	0.0027100271	0.01745150058	0.002673566192	0.02427518593	0.004799752271	0.003113109651	0.009217690324	0.01906988189	0.002878618263	0.006146964497	0.01767440787	0.00379767952	0.01471330981	0.006771415501	0.005922261969	0.006529688848	0.002624901148	0.810750106
11	boa_vista_do_cadeado	alto_jacui	0.007175003605	0.00352303523	0.00754435417	0.003794739112	0.006043614753	0.004077208918	0.01252161882	0.007426688318	0.005708661417	0.0133269364	0.009354076408	0.004995442956	0.002565597521	0.005832236563	0.001489169037	0.01293537154	0.01331851551	0.003489405894	0.9818844389
12	boa_vista_do_incra	alto_jacui	0.005137472376	0.002574525745	0.006964019234	0.004570935748	0.004012288683	0.002761147812	0.01079211346	0.00608940682	0.004146161417	0.01183431953	0.007848984415	0.003172625434	0.001575153649	0.004593531452	0.001520414468	0.009370358185	0.01061526911	0.003169850732	0.9172547456
13	bossoroca	missoes	0.016634338	0.004200542005	0.007793069143	0.009918068133	0.007907062635	0.01192196532	0.008924247665	0.008119209094	0.007455708661	0.0102883949	0.008650762392	0.01024469595	0.02234408682	0.008884759872	0.004009437299	0.01124494156	0.01165987418	0.01047936231	0.8702030146
14	bozano	noroeste_colonial	0.002106046804	0.002303523035	0.008497761565	0.002242345839	0.005086709084	0.001522502064	0.01162227603	0.005826726526	0.004330708661	0.01055493363	0.006934676194	0.00335721455	0.001059812667	0.004265422063	0.001313487179	0.004062319893	0.004138505269	0.001986928033	1.275481
15	cachoeira_do_sul	jacui_centro	0.03831897934	0.05176151762	0.01442546841	0.009228115567	0.02409051992	0.03238542527	0.02857142857	0.03001719362	0.02389271654	0.03337064876	0.03736004051	0.02793064064	0.02876122423	0.02884781992	0.05040241757	0.04030037969	0.04254126048	0.02527556231	1.056710209
16	cacique_Doble	nordeste	0.002270579843	0.00189701897	0.01040457636	0.009400603708	0.01173468531	0.005109413708	0.004289173296	0.008310249307	0.0108390748	0.003571618956	0.005499915602	0.008525709803	0.001606380085	0.008401812344	0.003006635822	0.00319670659	0.00287007522	0.003295853266	0.7804212381
17	caibate	missoes	0.002643051074	0.00216802168	0.004020892058	0.003880983182	0.005926100022	0.005393270025	0.004427533725	0.004322284841	0.005561023622	0.004264619649	0.004079221291	0.005745336241	0.002435452442	0.004759429458	0.002972442709	0.004275400498	0.00411584841	0.003138691261	0.9123480621
18	caicara	medio_alto_uruguai	0.001840832939	0.00135501355	0.006342231802	0.006899525658	0.01094565783	0.006915772089	0.002905569007	0.007856528799	0.01085137795	0.002292233061	0.005176391155	0.01011779093	0.003220933532	0.007144674121	0.00298541251	0.002879360059	0.002771747995	0.00460182176	1.049969196
19	campos_borges	alto_da_serra_do_botucarai	0.00198802783	0.00298102981	0.007502901675	0.006382061233	0.005103496903	0.00490297275	0.006018678658	0.005277485911	0.004884350394	0.00522415907	0.004670005064	0.004707022462	0.001748680421	0.004818415416	0.002071631035	0.002898976552	0.002493670461	0.003493954721	0.9200226486
20	capao_bonito_do_sul	nordeste	0.005227032874	0.002032520325	0.003440557122	0.003277274687	0.003156109927	0.004361065235	0.005188516084	0.003677524119	0.003813976378	0.004851004851	0.004135486412	0.003714855963	0.002951422144	0.003878326716	0.001036405054	0.008920102805	0.009175496572	0.004273623826	0.7037798894
21	caseiros	nordeste	0.002079142783	0.002845528455	0.003896534571	0.005433376455	0.00310574647	0.004412675475	0.004427533725	0.004776005349	0.004010826772	0.003838157684	0.004402745738	0.003437972289	0.001538687878	0.004394453845	0.001877673548	0.003433525994	0.003481898896	0.004794692064	0.8933699696
22	catuipe	noroeste_colonial	0.006190675138	0.008401084011	0.01620792572	0.01103924105	0.009921600886	0.005702931462	0.01812521619	0.01236985385	0.009830216535	0.01748494056	0.01211106735	0.008306510227	0.003518737329	0.008759414712	0.005503322627	0.01169107463	0.01215035976	0.007507385591	1.252052281
23	cerro_branco	jacui_centro	0.001152568282	0.009620596206	0.00754435417	0.0002587322122	0.01099602129	0.001341866226	0.001937046005	0.005970006686	0.008255413386	0.001652540114	0.004388679458	0.007833500617	0.0006926400757	0.005909655633	0.002767284029	0.001925756832	0.001989997882	0.000447149784	0.9098779778
24	cerro_largo	missoes	0.001550986947	0.01463414634	0.005969159343	0.01172919362	0.007403428073	0.008335053675	0.003389830508	0.007832648773	0.008833661417	0.002985233754	0.00585157261	0.008237289309	0.002672479953	0.00748753	0.008294188114	0.002718945474	0.001823080559	0.007721635386	1.022695888
25	colorado	alto_jacui	0.003156977672	0.0009485094851	0.01139943625	0.003449762829	0.006093978209	0.001548307184	0.01203735732	0.007211768077	0.005068897638	0.009915240684	0.00810217746	0.003414898649	0.001334982536	0.004519799005	0.002050407723	0.007538419364	0.006395871779	0.005312121239	1.207974436
26	condor	noroeste_colonial	0.004744195368	0.004471544715	0.006217874316	0.005778352738	0.007386640254	0.003457886045	0.01044621238	0.007617728532	0.006963582677	0.01060824138	0.008439768188	0.005041590235	0.002420363157	0.005865416164	0.004030071075	0.01029602923	0.01005159126	0.006468205854	1.067208958
27	coronel_barros	noroeste_colonial	0.001793601434	0.0008130081301	0.006176421821	0.004053471324	0.004918830896	0.002683732453	0.009477689381	0.006495367275	0.004613681102	0.008156085079	0.006146964497	0.004014813277	0.001190376893	0.003203674825	0.001508623739	0.00303202755	0.00297698727	0.002010127056	1.344842322
28	cristal_do_sul	medio_alto_uruguai	0.0009904267121	0.00108401084	0.00281876969	0.004053471324	0.005204223815	0.003509496284	0.001176063646	0.001337281498	0.005118110236	0.001012847167	0.001111236145	0.004557043805	0.0009315537478	0.003882013338	0.001720267319	0.001666122593	0.001432515264	0.002162740232	0.7119439136
29	cruz_alta	alto_jacui	0.01546945365	0.009620596206	0.009368263969	0.001897369556	0.006564037135	0.004799752271	0.01639571083	0.008262489254	0.006090059055	0.02089663628	0.01438980476	0.005076200695	0.003143810522	0.008132688912	0.03741375082	0.03322316114	0.03348710201	0.006453649604	1.117432739
30	dezesseis_de_novembro	missoes	0.002415144118	0.00108401084	0.002114077267	0.003277274687	0.006295432035	0.01076073493	0.001176063646	0.002722323049	0.006348425197	0.001012847167	0.001856749001	0.008779519838	0.004816625374	0.007008269094	0.00161768798	0.001338114925	0.001100804699	0.002676757787	0.7024112355
31	dois_irmaos	medio_alto_uruguai	0.0002336464802	0.00135501355	0.0001658099818	0.00008624407072	0.00203132607	0.001574112304	0.0004150812868	0.001814882033	0.002374507874	0.0003198464737	0.001392561751	0.00190357526	0.0002701401082	0.001740085751	0.01813001401	0.0006707277072	0.0006768736403	0.0008074169549	1.158026644
32	entre-ijuis	missoes	0.005399816479	0.003929539295	0.01164815122	0.005605864597	0.01247334934	0.005367464905	0.01715669319	0.0119638934	0.01058070866	0.01604563143	0.01042311371	0.009483265843	0.003636936724	0.008434991945	0.005294626729	0.009650248586	0.009615889255	0.00443078583	0.9508363823
33	erval_seco	medio_alto_uruguai	0.004053658815	0.00216802168	0.008207594097	0.01336783096	0.01403461648	0.009547894302	0.007194742304	0.007522208425	0.01327509843	0.006450237219	0.005640578405	0.01278279629	0.003166654022	0.01091608879	0.004515849098	0.005793972946	0.005318962985	0.006485263958	0.8662653637
34	espumoso	alto_da_serra_do_botucarai	0.007902129627	0.001219512195	0.02039462776	0.006899525658	0.01588127655	0.005444880264	0.02455897613	0.01561753749	0.01337352362	0.02217602218	0.01503685365	0.01061387418	0.004803003103	0.01145802227	0.009340025751	0.01434271279	0.01270899292	0.006222569146	1.169597662
35	eugenio_de_castro	missoes	0.00437602878	0.00298102981	0.005969159343	0.003967227253	0.00527137509	0.00291597853	0.008232445521	0.005277485911	0.004982775591	0.00826270057	0.006329826141	0.003668708684	0.002509431851	0.005238690364	0.00159115884	0.00843367063	0.008193994393	0.004173322171	1.040549456
36	fontoura_xavier	alto_da_serra_do_botucarai	0.00482622274	0.001219512195	0.008124689106	0.004053471324	0.01991035305	0.009496284063	0.002144586648	0.007259528131	0.01743356299	0.002132309825	0.004838800428	0.01693605141	0.003099800109	0.01847735124	0.006388216817	0.003145390981	0.003290643151	0.002988125057	0.9050261335
37	fortaleza_dos_valos	alto_jacui	0.00537231459	0.0027100271	0.00663239927	0.003191030617	0.004818103984	0.002709537572	0.01016949153	0.006375967141	0.004416830709	0.01087478011	0.00808811118	0.003934055538	0.002073309612	0.004512425761	0.002704793167	0.01105638157	0.01098291204	0.005766549148	1.251339765
38	frederico_westphalen	medio_alto_uruguai	0.002223109191	0.008265582656	0.008249046593	0.01371280724	0.009350815049	0.01045107349	0.004704254583	0.01041169166	0.01138041339	0.003944773176	0.007131604119	0.01046389552	0.003622895307	0.009559411763	0.01817658739	0.002920440976	0.002602087068	0.007197837851	1.114621583
39	garruchos	missoes	0.008666921278	0.00243902439	0.002321339745	0.006640793445	0.002887504826	0.01021882742	0.003528190937	0.003438723851	0.002928149606	0.004051388667	0.003488437518	0.006368324508	0.01245767141	0.005131778316	0.001875904938	0.003867007852	0.00454243457	0.005969199431	0.7223489463
40	girua	missoes	0.008962267648	0.00487804878	0.0254518322	0.008451918931	0.02177380093	0.007018992568	0.0229678312	0.0164294584	0.01780265748	0.02297563836	0.01620435492	0.0123213235	0.003378951873	0.0136884288	0.01006279742	0.01966574775	0.02118690607	0.005961238982	0.9567492583
41	gramado_dos_loureiros	medio_alto_uruguai	0.00118808159	0.00162601626	0.004103797049	0.002673566192	0.004398408515	0.002012799339	0.002698028364	0.002626802942	0.003592519685	0.002398848553	0.002053676926	0.003276456812	0.000650515823	0.003365886209	0.001324688371	0.001734069577	0.001884590389	0.001291639686	0.9206537549
42	gramado_xavier	alto_da_serra_do_botucarai	0.001746967797	0.00027100271	0.008953739015	0.0008624407072	0.0102909329	0.001161230388	0.001383604289	0.005420766071	0.007886318898	0.00133269364	0.003432172396	0.007083607333	0.0008139830723	0.006790758375	0.002506119388	0.002871897262	0.003234709032	0.0007112092445	0.909552778
43	guarani_das_missoes	missoes	0.002827911595	0.00108401084	0.01152379373	0.01147046141	0.01123105075	0.006502890173	0.01265997925	0.01131913268	0.01133120079	0.01082147236	0.008903955438	0.01000242273	0.002890017139	0.00855296386	0.004763454401	0.004093876861	0.0034529583	0.005269134815	0.9177066445
44	ibiaca	nordeste	0.003869396161	0.003387533875	0.009658431438	0.0035360069	0.008729665755	0.002090214699	0.01106883431	0.00909829019	0.007320374016	0.009542086465	0.008636696112	0.004995442956	0.001743441086	0.005710578026	0.002856893567	0.007485966567	0.006614386556	0.005686944659	1.182609834
45	ibiraiaras	nordeste	0.003005836857	0.01734417344	0.01206267617	0.01069426477	0.007118035154	0.005264244426	0.006848841231	0.01155793294	0.007541830709	0.005703928781	0.01035278231	0.00627602995	0.002435871589	0.006270944623	0.004396762738	0.006339681046	0.006181251149	0.006829837673	1.015452405
46	ibirapuita	alto_da_serra_do_botucarai	0.003120388202	0.001490514905	0.007295639197	0.003191030617	0.006329007672	0.002657927333	0.009131788309	0.005850606553	0.005437992126	0.008582547044	0.006062566815	0.003795613701	0.001566770713	0.004682010389	0.00244952389	0.004763396306	0.004295687223	0.002744307881	0.9212356338
47	ibiruba	alto_jacui	0.006228221195	0.005284552846	0.02064334273	0.01992238034	0.01440394849	0.009031791908	0.02642684192	0.02072786322	0.01449311024	0.02286902287	0.02197152985	0.01076385284	0.005139577978	0.01331239332	0.01200001415	0.01480633013	0.01163456222	0.01910666933	1.247621932
48	ijui	noroeste_colonial	0.006451703933	0.02357723577	0.02491294976	0.01664510565	0.01999429214	0.01081234517	0.03196125908	0.02679339001	0.01937746063	0.02841302841	0.02553029877	0.01631306314	0.004920364205	0.01761099498	0.04912607119	0.01270629923	0.01212425127	0.01398218724	1.25706896
